id;ASJC_4d;asjc_description;asjc_codeName
194;2719;Health Policy;
195;2720;Hematology;
196;2721;Hepatology;
197;2722;Histology;
198;2723;Immunology and Allergy;
199;2724;Internal Medicine;
200;2725;Infectious Diseases;
201;2726;Microbiology (medical);
202;2727;Nephrology;
203;2728;Clinical Neurology;
204;2729;Obstetrics and Gynaecology;
205;2730;Oncology;
206;2731;Ophthalmology;
207;2732;Orthopedics and Sports Medicine;
208;2733;Otorhinolaryngology;
209;2734;Pathology and Forensic Medicine;
210;2735;Pediatrics, Perinatology, and Child Health;
211;2736;Pharmacology (medical);
212;2737;Physiology (medical);
213;2738;Psychiatry and Mental health;
214;2739;Public Health, Environmental and Occupational Health;
215;2740;Pulmonary and Respiratory Medicine;
216;2741;Radiology Nuclear Medicine and imaging;
217;2742;Rehabilitation;
218;2743;Reproductive Medicine;
219;2744;Reviews and References, Medical;
220;2745;Rheumatology;
221;2746;Surgery;
222;2747;Transplantation;
223;2748;Urology;
224;2800;General Neuroscience;NEURO
225;2801;Neuroscience (miscellaneous);
226;2802;Behavioral Neuroscience;
227;2803;Biological Psychiatry;
228;2804;Cellular and Molecular Neuroscience;
229;2805;Cognitive Neuroscience;
230;2806;Developmental Neuroscience;
231;2807;Endocrine and Autonomic Systems;
232;2808;Neurology;
233;2809;Sensory Systems;
234;2900;General Nursing;NURS
235;2901;Nursing (miscellaneous);
236;2902;Advanced and Specialised Nursing;
237;2903;Assessment and Diagnosis;
238;2904;Care Planning;
239;2905;Community and Home Care;
240;2906;Critical Care;
241;2907;Emergency;
242;2908;Fundamentals and skills;
243;2909;Gerontology;
244;2910;Issues, ethics and legal aspects;
245;2911;Leadership and Management;
246;2912;LPN and LVN;
247;2913;Maternity and Midwifery;
248;2914;Medical–Surgical;
249;2915;Nurse Assisting;
250;2916;Nutrition and Dietetics;
251;2917;Oncology(nursing);
252;2918;Pathophysiology;
253;2919;Pediatrics;
254;2920;Pharmacology (nursing);
255;2921;Phychiatric Mental Health;
256;2922;Research and Theory;
257;2923;Review and Exam Preparation;
258;3000;General Pharmacology, Toxicology and Pharmaceutics;PHARM
259;3001;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);
260;3002;Drug Discovery;
261;3003;Pharmaceutical Science;
262;3004;Pharmacology;
263;3005;Toxicology;
264;3100;General Physics and Astronomy;PHYS
265;3101;Physics and Astronomy (miscellaneous);
266;3102;Acoustics and Ultrasonics;
267;3103;Astronomy and Astrophysics;
268;3104;Condensed Matter Physics;
269;3105;Instrumentation;
270;3106;Nuclear and High Energy Physics;
271;3107;Atomic and Molecular Physics, and Optics;
272;3108;Radiation;
273;3109;Statistical and Nonlinear Physics;
274;3110;Surfaces and Interfaces;
275;3200;General Psychology;PSYCH
276;3201;Psychology (miscellaneous);
277;3202;Applied Psychology;
278;3203;Clinical Psychology;
279;3204;Developmental and Educational Psychology;
280;3205;Experimental and Cognitive Psychology;
281;3206;Neuropsychology and Physiological Psychology;
282;3207;Social Psychology;
283;3300;General Social Sciences;SOC
284;3301;Social Sciences (miscellaneous);
285;3302;Archaeology;
286;3303;Development;
287;3304;Education;
288;3305;Geography, Planning and Development;
289;3306;Health(social science);
290;3307;Human Factors and Ergonomics;
291;3308;Law;
292;3309;Library and Information Sciences;
293;3310;Linguistics and Language;
294;3311;Safety Research;
295;3312;Sociology and Political Science;
296;3313;Transportation;
297;3314;Anthropology;
298;3315;Communication;
299;3316;Cultural Studies;
300;3317;Demography;
301;3318;Gender Studies;
302;3319;Life-span and Life-course Studies;
303;3320;Political Science and International Relations;
304;3321;Public Administration;
305;3322;Urban Studies;
306;3400;General Veterinary;VET
307;3401;Veterinary (miscalleneous);
308;3402;Equine;
309;3403;Food Animals;
310;3404;Small Animals;
311;3500;General Dentistry;DENT
312;3501;Dentistry (miscellaneous);
313;3502;Dental Assisting;
314;3503;Dental Hygiene;
315;3504;Oral Surgery;
316;3505;Orthodontics;
317;3506;Periodontics;
318;3600;General Health Professions;HEALTH
319;3601;Health Professions (miscellaneous);
320;3602;Chiropractics;
321;3603;Complementary and Manual Therapy;
322;3604;Emergency Medical Services;
323;3605;Health Information Management;
324;3606;Medical Assisting and Transcription;
325;3607;Medical Laboratory Technology;
326;3608;Medical Terminology;
327;3609;Occupational Therapy;
328;3610;Optometry;
329;3611;Pharmacy;
330;3612;Physical Therapy, Sports Therapy and Rehabilitation;
331;3613;Podiatry;
332;3614;Radiological and Ultrasound Technology;
333;3615;Respiratory Care;
334;3616;Speech and Hearing;
